Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
Star Wars: Visions,2021,7.2,"9,175",None,Series,TV-PG,9,None,Mild,None,No Rate,Mild,Animation, Action, Adventure
Promising Young Woman,2020,7.5,"132,936",113,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate,Crime, Drama, Thriller
Modern Family,2020,8.4,"388,093",22,Series,TV-PG,250,Mild,None,Mild,Mild,None,Comedy, Drama, Romance
The Mandalorian,2020,8.8,"359,850",40,Series,TV-14,24,None,Moderate,None,None,Moderate,Action, Adventure, Sci-Fi
Queenpins,2021,6.2,"3,525",110,Film,R,-,None,None,Moderate,None,None,Comedy, Crime,
The Big Bang Theory,2021,8.1,"753,761",22,Series,TV-PG,280,Mild,None,Mild,Mild,None,Comedy, Romance,
The Wire,2021,9.3,"306,334",59,Series,TV-MA,60,Severe,Severe,Severe,Severe,Severe,Crime, Drama, Thriller
Doctor Who,2021,8.6,"207,605",45,Series,TV-PG,200,None,Mild,Mild,None,Moderate,Adventure, Drama, Family
Candyman,2021,6,"35,936",91,Film,R,-,None,Severe,Moderate,Mild,Severe,Horror, Thriller,
The White Lotus,2021,7.7,"37,058",353,Series,TV-MA,7,Moderate,Mild,Moderate,Severe,None,Comedy, Drama,
The Witcher,2021,8.2,"353,732",60,Series,TV-MA,17,Severe,Severe,Moderate,Mild,Moderate,Action, Adventure, Fantasy
The Starling,2021,6.3,"6,994",102,Film,PG-13,-,Mild,None,Mild,Mild,None,Comedy, Drama,
Kate,2021,6.3,"41,301",106,Film,R,-,Mild,Severe,Severe,Mild,Moderate,Action, Adventure, Crime
The Sandman,2021,No Rate,No Votes,None,Series,None,11,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Drama
Knives Out,2019,7.9,"537,031",130,Film,PG-13,-,None,Mild,Moderate,Mild,Mild,Comedy, Crime, Drama
New Amsterdam,2019,8.1,"30,554",43,Series,TV-14,61,Mild,Moderate,Mild,Moderate,Moderate,Drama,,
Cry Macho,2021,5.8,"13,148",104,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild,Drama, Thriller, Western
Castle,2021,8.1,"146,732",43,Series,TV-14,173,Mild,Moderate,Mild,Mild,Moderate,Comedy, Crime, Drama
Black Mirror,2021,8.8,"482,062",60,Series,TV-MA,22,Severe,Severe,Severe,Mild,Severe,Drama, Sci-Fi, Thriller
Law & Order: Organized Crime,2021,7.6,"4,267",None,Series,TV-14,14,Mild,Moderate,Moderate,Moderate,Moderate,Crime, Drama, Mystery
Till Death,2021,5.8,"12,586",88,Film,R,-,Mild,Severe,Moderate,Mild,Moderate,Horror, Thriller,
The Voyeurs,2021,5.9,"10,281",120,Film,R,-,Severe,Moderate,Mild,Moderate,Moderate,Drama, Mystery, Thriller
